Country,2022-1-31,2022-2-17,2022-2-28,2022-3-4,2022-3-31,2022-4-10,2022-4-12,2022-4-30,2022-5-6,2022-5-8,2022-5-12,2022-5-13,2022-5-15,2022-5-17,2022-5-18,2022-5-19,2022-5-20,2022-5-21,2022-5-23,2022-5-24,2022-5-25,2022-5-26,2022-5-27,2022-5-28,2022-5-29,2022-5-30,2022-5-31,2022-6-1,2022-6-2,2022-6-3,2022-6-4,2022-6-5,2022-6-6,2022-6-7,2022-6-8,2022-6-9,2022-6-10,2022-6-11,2022-6-12,2022-6-13,2022-6-14,2022-6-15,2022-6-16,2022-6-17,2022-6-18,2022-6-19,2022-6-20,2022-6-21,2022-6-22,2022-6-23,2022-6-24,2022-6-25,2022-6-26,2022-6-27,2022-6-28,2022-6-29,2022-6-30,2022-7-1,2022-7-2,2022-7-3,2022-7-4,2022-7-5,2022-7-6,2022-7-7,2022-7-8,2022-7-9,2022-7-10,2022-7-11,2022-7-12,2022-7-13,2022-7-14,2022-7-15,2022-7-16,2022-7-17,2022-7-18,2022-7-19,2022-7-20,2022-7-21,2022-7-22,2022-7-23,2022-7-24,2022-7-25,2022-7-26,2022-7-27,2022-7-28,2022-7-29,2022-7-30,2022-7-31,2022-8-1,2022-8-2,2022-8-3,2022-8-4,2022-8-5,2022-8-6,2022-8-7,2022-8-8,2022-8-9
Nigeria,3,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,15,0,0,1,0,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Congo,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,0,0,0,0,0,0,0,0,1,0,1,1,4,0,2,0,11,0,36,14,7,24,0,0,0,71,11,5,11,15,0,0,73,18,0,43,0,0,104,0,52,0,46,0,0,0,216,0,0,0,107,0,162,0,0,0,150,0,0,0,100,0,0,197,0,0,0,178,0,0,0,118,0,0,0,272,0,65,0,0,0,275,0,0,46,0,0,0,202,0,0,92,0,0,0,153,0
Democratic Republic Of The Congo,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,0,0,14,2,10,9,16,0,0,22,4,19,19,5,0,0,10,13,25,18,0,0,0,0,22,10,0,35,0,0,21,7,13,11,20,0,0,17,8,18,11,18,0,0,0,13,0,40,0,0,0,0,0,42,0,0,0,0,0,0,73,0,0,0,0,0,0,45,0,0,0,0,0,0,77,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,10,1,4,8,25,21,0,9,8,20,0,26,19,0,0,17,27,34,0,16,0,0,0,38,0,184,1,0,0,23,0,0,215,0,0,0,64,0,0,396,0,0,0,62,0,0,0,776,0,0,0,413,0,0,388,0,0,0,290,0,0,1,0,0,0,612,0,0,561,1,0,0,277,0,0,365,0,0,0,220
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,5,4,1,1,0,4,1,4,5,1,0,2,6,5,5,3,2,2,18,8,13,21,11,4,1,4,38,21,22,19,6,9,63,44,50,61,73,4,6,10,146,40,134,67,10,4,94,64,123,181,341,0,0,228,119,209,180,372,0,0,582,192,981,265,280,0,0,617,516,291,485,408,0,0,1410,559
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,10,0,0,11,0,0,0,0,1,27,23,3,0,0,1,20,1,11,3,0,0,8,34,0,9,10,0,0,0,33,0,25,0,0,0,22,18,12,0,0,25,0,36,0,21,0,5,3,0,99,0,16,37,8,0,0,35,40,0,0,68,0,0,34,30,0,54,4,0,0,0,88,2,64,1,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,1,2,6,1,0,3,16,0,17,17,5,0,0,27,13,30,12,0,1,25,14,45,24,87,1,0,13,66,54,74,52,0,0,145,65,35,64,105,1,7,97,75,96,54,102,94,0,60,32,109,134,26,0,0,35,53,93,91,98,0,0,83,38,49,81,55,0,0,82,47,57,58,48,0,0,29,66
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,3,0,0,0,5,0,3,0,0,0,0,8,0,0,0,0,0,0,27,0,10,0,0,0,15,0,0,0,0,0,0,40,0,0,0,0,0,0,51,0,0,0,0,0,0,56,0,0,0,0,0,87,0,0,0,0,0,0,82,0,0,0,0,0,0,89,0,0,0,0,0,0,64,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,0,0,0,0,0,17,9,0,0,0,3,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,9,0,1,0,16,0,18,1,0,0,14,0,25,0,0,0,0,34,0,58,0,0,0,0,94,0,53,0,1,0,0,109,0,58,0,0,0,0,79,0,144,0,0,0,0,187,0,0,0,0,0,0,525,0,128,0,0,0,0,268,0,126,0,0,0,0,284,0,184,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,4,3,0,0,1,0,6,2,0,1,0,0,6,1,2,0,1,5,0,0,1,10,0,23,0,0,0,14,0,0,42,0,0,0,32,0,0,33,0,0,0,41,0,0,22,0,0,0,37,0,0,47,0,0,0,35,0,0,33,0,0,0,19,0,0,53,0,0,0,26,0,0,40,0,0,0,54
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,6,0,0,0,0,14,0,0,14,0,0,0,0,14,0,6,0,0,0,0,20,0,15,0,0,0,0,0,72,0,44,0,0,46,0,0,0,0,0,0,95,0,0,50,0,0,0,101,0,0,46,0,0,0,107,0,0,56,0,0,0,0,106,0,60,0,0,0,47,0,2,30,0,0,0,2,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,4,0,4,0,5,0,0,0,0,8,0,1,0,0,2,0,0,1,0,0,0,0,0,9,0,4,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,2,0,0,5,1,8,2,1,0,0,9,1,5,6,3,0,0,13,4,9,2,8,0,0,24,6,10,4,5,0,0,23,2,16,8,9,0,0,10,5,3,0,13,0,0,5,4,13,13,8,0,0,0,26,6,8,4,0,0,19,12
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,2,0,3,0,0,13,4,5,4,0,0,0,10,3,0,4,0,0,2,5,7,7,8,0,0,8,0,6,0,3,0,0,9,0,7,0,12,0,0,13,0,7,4,3,0,0,6,0,0
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,3,0,0,2,1,0,1,0,0,0,0,1,0,3,0,0,0,2,0,0,0,8,0,1,0,0,0,7,0,0,0,6,0,0,1,0,0,0,3,0,0,0,2,0,0,0,5,0,3,0,0,0,5,0,0,2,0,0,0,4,0,0,2,0,0,0,2,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,1,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,25,0,0,0,0,0,0,21,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,21,0,3,0,25,0,0,13,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,2,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,10,0,0,1,0,3,1,4,0,0,6,0,3,2,0,0,0,11,1,11,5,23,0,0,0,0,6,9,0,0,0,9,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,4,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,6,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,2,3,0,2,0,0,1,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,5,0,0,3,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,5,0,0,0,3,0
Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,14,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,8,0,0,0,0,0,12,0,0,3,0,28,0,0,0,0,0,0,0,0,56
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,2,0,0,0,0,0,5,0,3,0,0,0,4,2,2,2,2,1,0,2,4,2,0,0,0,0,0,3,2,0,2,0,0,2,2,4,2,2,0,0,1,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,6,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,9,0,3,0,0,0,0,0,1,0,6,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,1,1,0,1,0,1,2,5,1,2,1,0,1,16,12,15,12,2,2,26,36,30,32,14,0,10,38,42,39,0,0,0,0,101,143,13,90,0,0,115,56,112,89,193,84,27,105,128,118,139,144,104,23,162,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,12,0,0,0,0,13,0,0,0,0,0,6,0,4,0,13,0,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
